Show Code,Date,People,Media Type,Media URL,Media Title,Media Description
227,7/3/2014,Robert Klein,4,http://comediansincarsgettingcoffee.com/robert-klein-opera-pimp,Opera Pimp,
227,7/10/2014,Aziz Ansari,4,http://comediansincarsgettingcoffee.com/aziz-ansari-its-like-pushing-a-building-off-a-cliff,It's Like Pushing a Building Off a Cliff,
227,7/17/2014,Jon Stewart,4,http://comediansincarsgettingcoffee.com/jon-stewart-the-sound-of-virginity,The Sound of Virginity,
227,11/6/2014,Kevin Hart,4,http://comediansincarsgettingcoffee.com/kevin-hart-you-look-amazing-in-the-wind,You Look Amazing in the Wind,
227,11/13/2014,Amy Schumer,4,http://comediansincarsgettingcoffee.com/amy-schumer-im-wondering-what-its-like-to-date-me,I'm Wondering What It's Like to Date Me,
227,11/20/2014,Bill Burr,4,http://comediansincarsgettingcoffee.com/bill-burr-smoking-past-the-band,Smoking Past the Band,
227,11/27/2014,Miranda Sings,4,http://comediansincarsgettingcoffee.com/miranda-sings-happy-thanksgiving-miranda,Happy Thanksgiving Miranda,
227,12/4/2014,Fred Armisen,4,http://comediansincarsgettingcoffee.com/fred-armisen-i-wasnt-told-about-this-with-special-feature-im-dying-jerry,"I Wasn't Told About This... with Special Feature: I’m Dying, Jerry",
227,12/11/2014,Alexandra Wentworth,4,http://comediansincarsgettingcoffee.com/ali-wentworth-im-going-to-take-a-percocet-and-let-that-one-go,I'm Going to Take a Percocet and Let That One Go,
227,12/18/2014,Jimmy Fallon,4,http://comediansincarsgettingcoffee.com/jimmy-fallon-the-unsinkable-legend-part-1,The Unsinkable Legend,
227,6/3/2015,Julia Louis-Dreyfus,4,http://comediansincarsgettingcoffee.com/julia-louis-dreyfus-ill-go-if-i-dont-have-to-talk,I'll Go If I Don't Have to Talk,
227,6/10/2015,Steve Harvey,4,http://comediansincarsgettingcoffee.com/steve-harvey-always-do-the-banana-joke-first,Always Do the Banana Joke First,
227,6/17/2015,Jim Carrey,4,http://comediansincarsgettingcoffee.com/jim-carrey-we-love-breathing-what-youre-burning-baby,"We Love Breathing What You're Burning, Baby",
227,6/24/2015,Bill Maher,4,http://comediansincarsgettingcoffee.com/bill-maher-the-comedy-team-of-smug-and-arrogant,The Comedy Team of Smug and Arrogant,
227,7/1/2015,Trevor Noah,4,http://comediansincarsgettingcoffee.com/trevor-noah-thats-the-whole-point-of-apartheid-jerry,"That's the Whole Point of Apartheid, Jerry",
227,7/8/2015,Stephen Colbert,4,http://comediansincarsgettingcoffee.com/stephen-colbert-cut-up-and-bloody-but-looking-good,Cut Up and Bloody but Good Looking,
227,12/30/2015,Barack Obama,4,http://comediansincarsgettingcoffee.com/president-barack-obama-just-tell-him-you-re-the-president,Just Tell Him You're The President,
