Show Code,Date,People,Media Type,Media URL,Media Title,Media Description
228,1969,Frank Fraser Darling,4,http://www.bbc.co.uk/programmes/p00h3xk5,Wilderness and Plenty,
228,1970,Donald Schon,4,http://www.bbc.co.uk/programmes/p00h3xfh,Change and Industrial Society,
228,1971,Richard Hoggart,4,http://www.bbc.co.uk/programmes/p00h3xbc,Only Connect,
228,1972,Andrew Shonfield,4,http://www.bbc.co.uk/programmes/p00h3x7f,Europe: Journey To An Unknown Destination,
228,1973,Alistair Buchan,4,http://www.bbc.co.uk/programmes/p00h3x5m,Change Without War,
228,1974,Ralf Dahrendorf,4,http://www.bbc.co.uk/programmes/p00h3x3t,The New Liberty,
228,1975,Daniel Boorstin,4,http://www.bbc.co.uk/programmes/p00h3wyv,America and The World Experience,
228,1976,Colin Blakemore,4,http://www.bbc.co.uk/programmes/p00gmw6w,Mechanics of the Mind,
228,1977,,4,,,
228,1978,A. H. Halsey,4,http://www.bbc.co.uk/programmes/p00gq29j,Change In British Society,
228,1978,Edward Norman,4,http://www.bbc.co.uk/programmes/p00gq28g,Christianity and the World,
228,1979,Ali Mazrui,4,http://www.bbc.co.uk/programmes/p00gq1wn,The African Condition,
228,1980,Sir Ian Kennedy,4,http://www.bbc.co.uk/programmes/p00gq1z0,Unmasking Medicine,
228,1981,Laurence Martin,4,http://www.bbc.co.uk/programmes/p00gq1zd,The Two Edged Sword,
228,1982,Denis Donoghue,4,http://www.bbc.co.uk/programmes/p00gq1s3,The Arts Without Mystery,
228,1983,Douglas Wass,4,http://www.bbc.co.uk/programmes/p00gq1jd,Government and the Governed,
228,1984,John Searle,4,http://www.bbc.co.uk/programmes/p00gq1fk,"Minds, Brains and Science",
228,1985,David Henderson,4,http://www.bbc.co.uk/programmes/p00gq1cr,Innocence and Design,
228,1986,Lord McCluskey,4,http://www.bbc.co.uk/programmes/p00gq13t,"Law, Justice and Democracy",
228,1987,Alexander Goehr,4,http://www.bbc.co.uk/programmes/p00gq0sz,The Survival of The Symphony,
228,1988,Geoffrey Hosking,4,http://www.bbc.co.uk/programmes/p00gq0p8,The Rediscovery of Politics,
228,1989,Jacques Darras,4,http://www.bbc.co.uk/programmes/p00gq0l0,Beyond The Tunnel of History,
228,1990,Jonathan Sacks,4,http://www.bbc.co.uk/programmes/p00gq0dl,The Persistence of Faith,
228,1991,Steve Jones,4,http://www.bbc.co.uk/programmes/p00gq073,The Language of the Genes,
228,1992,,4,,,
228,1993,Edward Said,4,http://www.bbc.co.uk/programmes/p00gmx4c,Representation of the Intellectual,
228,1994,Marina Warner,4,http://www.bbc.co.uk/programmes/p00gmw3z,Managing Monsters,
228,1995,Richard Rogers,4,http://www.bbc.co.uk/programmes/p00gmvz4,Sustainable City,
228,1996,Jean Aitchison,4,http://www.bbc.co.uk/programmes/p00gmvwx,The Language Web,
228,1997,Patricia Williams,4,http://www.bbc.co.uk/programmes/p00ghvkl,The Genealogy of Race,
228,1998,John Keegan,4,http://www.bbc.co.uk/programmes/p00ghvjz,War In Our World,
228,1999,Anthony Giddens,4,http://www.bbc.co.uk/programmes/p00ghvgj,Runaway World,
228,2000,"Chris Patten | Sir John Browne| Thomas Lovejoy| Gro Harlem Brundtland | Vandana Shiva | Charles, Prince of Wales",4,http://www.bbc.co.uk/programmes/p00ghvff,Respect For The Earth,
228,2001,Tom Kirkwood,4,http://www.bbc.co.uk/programmes/p00ghvdn,The End Of Age,
228,2002,Onora O'Neill,4,http://www.bbc.co.uk/programmes/p00ghvd8,A Question of Trust,
228,2003,V.S. Ramachandran,4,http://www.bbc.co.uk/programmes/p00ghvck,The Emerging Mind,
228,2004,Wole Soyinka,4,http://www.bbc.co.uk/programmes/p00ghvb7,Climate of Fear,
228,2005,Alec Broers,4,http://www.bbc.co.uk/programmes/p00ghv8z,The Triumph of Technology,
228,2006,Daniel Barenboim,4,http://www.bbc.co.uk/programmes/p00ghv8s,In the Beginning was Sound,
228,2007,Jeffrey Sachs,4,http://www.bbc.co.uk/programmes/b00729fw,Bursting at the Seams,
228,2008,Jonathan Spence,4,http://www.bbc.co.uk/programmes/b00bx24h,Chinese Vistas,
228,2009,Michael Sandel,4,http://www.bbc.co.uk/programmes/b00kt7rg,A New Citizenship,
228,2010,Martin Rees,4,http://www.bbc.co.uk/programmes/b00sk5nc,Scientific Horizons,
228,2011,Aung San Suu Kyi | Eliza Manningham-Butler,4,http://www.bbc.co.uk/programmes/b0126d29,Securing Freedom,
